,id,neo_reference_id,name,nasa_jpl_url,absolute_magnitude_h,is_potentially_hazardous_asteroid,is_sentry_object,estimated_diameter_max_ft,estimated_diameter_min_ft,close_approach_date,miss_distance_miles,relative_velocity_mph
77,3836179,3836179,(2018 VB7),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3836179,25.1,False,False,186.2194458756,83.279867942,2022-01-01,14657325.265013771,21328.4900658728
78,3843224,3843224,(2019 NP5),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3843224,27.6,False,False,58.8877593581,26.3354065935,2022-01-01,38958837.340097758,33205.2470990173
79,3905993,3905993,(2019 XK1),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3905993,26.0,False,False,123.0339677816,55.0224631002,2022-01-01,21712895.0382708758,21977.3327782707
80,54172000,54172000,(2021 OS),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54172000,22.04,False,False,762.1229327359,340.8317369618,2022-01-01,42862743.2531211398,42868.8071558186
81,54231779,54231779,(2021 YT),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54231779,22.73,False,False,554.6576790196,248.050454906,2022-01-01,25215462.5206156854,9826.1982292479
82,54235477,54235477,(2022 AJ1),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54235477,27.86,False,False,52.24262975,23.3636142889,2022-01-01,478784.8021325678,24964.2826339863
83,54235478,54235478,(2022 AK1),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54235478,22.38,False,False,651.6659509085,291.4338729707,2022-01-01,15956338.4347868568,59632.2566770813
84,54235537,54235537,(2022 AF2),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54235537,24.67,False,False,226.9995676399,101.5172928212,2022-01-01,7724712.765552005,25937.8018318847
85,54235681,54235681,(2022 AM3),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54235681,26.57,False,False,94.6291698101,42.3194512699,2022-01-01,2476461.3856998426,15399.7821301065
86,54248460,54248460,(2022 DE2),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54248460,19.523,False,False,2428.986102602,1086.2756083641,2022-01-01,43693906.0122214378,41563.3621910525
87,3625335,3625335,(2013 BC70),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3625335,24.1,False,False,295.1379320721,131.9896957704,2022-01-02,13164827.3923170264,22715.3306806529
88,3753290,3753290,(2016 JT28),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3753290,23.7,False,False,354.8338390368,158.6865169607,2022-01-02,16046480.0595336904,30220.5739599888
89,3756934,3756934,(2016 PC2),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3756934,23.0,False,False,489.807047955,219.0483710172,2022-01-02,46035327.672688578,45650.0309994071
90,3795123,3795123,(2017 YK7),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3795123,24.4,False,False,257.0543928497,114.9582192654,2022-01-02,32641715.2847740718,47981.9035614819
91,3826839,3826839,(2018 PR23),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3826839,25.4,False,False,162.1903570994,72.5337327539,2022-01-02,44919888.0811873996,18864.3815627076
92,54053824,54053824,(2020 RG2),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54053824,27.1,False,False,74.1352966996,33.1543125905,2022-01-02,36643433.981843276,33517.6699757252
93,54143421,54143421,(2021 JG1),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54143421,24.76,False,False,217.7835285475,97.3957548424,2022-01-02,45545802.831095415,20306.415261582
94,54171310,54171310,(2021 NT8),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54171310,19.6,False,False,2344.3639258298,1048.4314204307,2022-01-02,40717784.00468474,60448.8180264687
95,54203032,54203032,(2021 TK3),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54203032,20.06,False,False,1896.8152385706,848.2815628403,2022-01-02,31887167.4446254218,17427.3307816002
96,54231688,54231688,(2021 YK),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54231688,27.35,False,False,66.0731527323,29.5488121994,2022-01-02,117979.1929254596,15757.7088012042
97,54235436,54235436,(2022 AQ),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54235436,27.04,False,False,76.2122932736,34.0831736962,2022-01-02,1793880.0235121986,25596.965053034
98,54235525,54235525,(2022 AP1),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54235525,28.36,False,False,41.4977958667,18.5583784949,2022-01-02,112381.3478102366,23837.8000962117
99,54235670,54235670,(2022 AV2),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54235670,24.81,False,False,212.8261702077,95.1787567951,2022-01-02,6170784.5186120662,25603.1374545797
100,54240279,54240279,(2022 BF2),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54240279,22.91,False,False,510.5344231232,228.3179349914,2022-01-02,12992820.3421680214,30601.9421303056
